,,,,,,,,,,,,,,Legende :,,Échelle de fréquence,,,,,,,,,,,,,,,,,,,,,,,,,Les échelles qualitatives sont transformées en échelle exponentielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Compt. A,,E1A,,,,Jamais / Rarement / Parfois / Régulièrement / Souvent / Toujours / S.O. ,,,,,,,,,,,,,,,,,,,,,S.O.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E2A,,,,Excellente / Très bonne / Bonne / Moyenne / Faible / Mauvaise / S.O.   ,,,,,,,,,,,,,,,,,,,,,Jamais,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E3A,,,,"Pas du tout d’accord / Pas d’accord /  Ni d’accord, ni pas d’accord /  Partiellement d’accord / D’accord / Tout à fait d’accord / S.O.",,,,,,,,,,,,,,,,,,,,,Rarement,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E4A,,,,Nulle / Très faible / Faible / Moyenne / Élevé / Très élevé / S.O. ,,,,,,,,,,,,,,,,,,,,,Parfois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E5,,,,Au besoin / 1 x semaine / 3 x semaine / + de 5 x semaine / tous les jours / +sieurs x par jour / S.O.,,,,,,,,,,,,,,,,,,,,,Régulièrement,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E6,,,,Pas du tout/ Un peu/  Normalement /  Beaucoup / Énormément/ Trop / S.O.,,,,,,,,,,,,,,,,,,,,,Souvent,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Compt. B,,E1B ,,,,Toujours / Souvent / Régulièrement / Parfois / Rarement / Jamais / S.O.,,,,,,,,,,,,,,,,,,,,,Quasi-toujours ¬ Toujours,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E2B,,,,Mauvaise / Faible / Moyenne / Bonne / Très bonne / Excellente / S.O ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E3B,,,,"Tout à fait d’accord / D'accord / Partiellement d'accord / Ni d'accord, ni pas d'accord / Pas d'accord / Pas du tout d'accord / S.O. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,E4B,,,,Très élevé / Élevé / Moyenne / Faible / Très faible / Nulle / S.O.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Questionnaires,,,,,,,,,,,,,,,,,,,,,,Comportement mis en relation Action-Réaction,,,,Comportement miroir des deux parents,Comportement mis en différentiel,Les autres comportements d'affichage (>=4),Autres comportements strictement qualitatifs,,,,,,,,,,,,Conflit de loyauté,,,,Conflit parental,,,,Aliénation parentale,,,,,,,,Comptabilisation par catégorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question conditionnelle à :,,,,changement ,,,,,,Choix de réponses,"sq1: 1er niveau
sq2: 2e niveau",,Condition <=,Intensité,,Échelle de fréquence,,,Résultat Questionnaire,Échelle CEV,,,Total,,,Catégories,,,,,,,,,Bulle info 🔶,,,Drapeau rouge 🔴,,,Conseil en lien avec une rupture de lien vers la réconciliation,Valeur d'incidence CL,Valeur d'incidence CP,Valeur d'incidence AP,Valeur d'incidence VC,Intouchable CL,Léger,Modéré,Sévère,Intouchable CP,Léger,Modéré,Sévère,Intouchable AP,Léger,Modéré,Sévère,Rupture contact,Rupture de lien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Un choix de réponse qui provient d'un autre questionnaire ou question-mère,Au résultat d'une question mère c.a.d. sous-question (sq1 = niveau 1; sq2 = niveau 2),Choix de réponse qui fait changer l'intensité,,,,,"Si oui, mais lien fragile",Si non,Questions,,Questions qui s'allume selon la réponse d'une autre Q,Condition >=,,Intensité de Base : 1 à 3,"Intensité conditionnelle (âge, temps de séparation)",Échelle,"Trois types d'échelle:
Numérique : 0 - 10 (aucune à excellente)
Libelé : Voir Légende ci-haut
Chois de réponse (Voir fichier Test_Bible)",Fréquence,Fréquence * Intensité,C,E,V,C,E,V,,"Devant les comportements aliénants du PF, l'enfant répond :",L'enfant présente les comportements suivants sans signe de la participation du PFA :,L'enfant ne semble pas répondre aux comportements suivant du PFA :,Cpts miroirs | Conseils PCR (selon A-R),,,,,,,références,,références,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Condition est dans la ""Colonne M""",Condition applicable à l'intensité (Colonne O et P),,,"Questionnaire 
BASE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B00,,,Identification: Qui êtes-vous ? ,"Une mère
Un père 
Un parent (non binaire) 
Un grand-parent 
Un·e nouveau ou nouvelle conjoint·e
Autre (spécifiez)",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B01,,,"Répondez-vous à ce questionnaire en votre nom ou au nom d'un autre parent ? 
","En mon nom ou celui d'une autre mère 
En mon nom ou celui d'un autre père 
En mon nom ou celui d'un autre parent (non binaire)",,,,0,,Choix de réponses,,,,n/a,n/a,n/a,,,,N / A,,,,,,,,,🔶,explication modus operandi du questionnaire / application : objectif de l'application : il est possible de répondre à ce questionnaire au nom d'un autre parent (ex.: pour comprendre ce que vit un·e ami·e ou un proche parent. La dynamique familiale à l'étude est celle d'un enfant (un à la fois) et de ses parents.  ,,,,,,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B02,,,À quel groupe d'âge appartenez-vous? ,"moins de 24 ans 
25 à 29 ans 
30 à 39 ans 
40 à 49 ans 
50 à 59 ans 
plus de 60 ans ",,,,0,,Choix de réponses,,,,n/a,n/a,n/a,,,,N / A,,,,,,,,,,,,,,,,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B03,,,"Quelle a été la durée de vie commune avec l'autre parent (coparent)?
","1 an et moins
2 à 5 ans
6 à 10 ans
11 à 20 ans 
plus de 20 ans  ",,,,0,,Choix de réponses,,,,n/a,n/a,n/a,,,,N / A,,,,,,,,,,,,🔴,,Si père et < 1 an et valeur parentale faible = Référence ouvrage si dispo,,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B04,,,Depuis combien de temps êtes vous séparé.e de l'autre parent (coparent)? ,"moins de 1 an
1 à 2 ans
2 à 5 ans
5 à 10 ans 
plus de 10 ans  ",,,,0,,Choix de réponses,,,,n/a,n/a,n/a,,,,N / A,,,,,,,,,,,,🔴,,"Référence ouvrage sur la fragilité séparation < 2 ans 

(i) 

rappeler qu'il est normal de vivre une péiode de turbulence (importante) les 2 premières années de la séparation. 

Réf: stats Francine Cyr 

",,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B05,,,Indiquez l'âge de votre enfant aujourd'hui (ou âge associé à la période que vous souhaitez analyser (ex.: analyse comparative ou rétroactive),,,,,0,,Choix de réponses,,,,n/a,n/a,n/a,,,,N / A,,,,,,,,,🔶,Préciser notion : Il est possible de faire une analyse comparative ou rétroactive,,,,,,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B07,,,Quelle est votre situation familiale actuelle? ,"Célibataire
En couple ou famille recomposée SANS enfant issu de la nouvelle union
Famile recomposée AVEC enfant(s) issu(s) de la nouvelle union ",,,,0,,Choix de réponses,,,,n/a,n/a,n/a,,,,N / A,,,,,,,,,,,,,,"mettre en relief les défis pour un parent ciblé d'avoir un.e nouveau / nvlle conjoint.e = cible pour ex qui refuse la séparation  

si votre co-parent  accepte la séparation vs vit mal la séparation, il se peut que la transition soit plus difficile … patience ...  ",,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,N / A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
